property_name,address,borough,property_type,sqft,classification,has_steam_cooling,has_electric_cooling,has_monthly_data,steam_intensity,heating_baseline,steam_ratio_vs_baseline,steam_pct_of_total,summer_elec_increase_pct,cooling_intensity_kbtu_sqft,cooling_pct_of_elec,peak_month_cooling_kw,avg_summer_cooling_kw,num_cooling_towers,district_steam_kbtu,elec_kwh,bbl,bin,latitude,longitude
M460 (OECID: 0100181; BBL: 1008720057),40 Irving Place,MANHATTAN,K-12 School,450200,BOTH,True,True,True,50.0,29.0,1.72,78.2,85.1,2.4,17.4,490,361,0,22498539,1836112,1008720057,1017828,40.735494,-73.987659
1063 Bergdorf Goodman,754 5th Avenue,MANHATTAN,Retail Store,267610,BOTH,True,True,True,20.2,11.2,1.8,20.4,22.8,5.9,7.5,490,350,2,5414310,6210424,1-01273-0033,1081141,40.763469,-73.973615
AMSTERDAM ADDITION,240 WEST 65TH STREET,MANHATTAN,Multifamily Housing,162599,BOTH,True,True,True,84.5,30.8,2.75,72.0,118.6,6.0,20.8,489,298,0,13743752,1374110,1011560020,1030340,40.77484,-73.986493
AKAM - 400 East 54th Street,400 East 54th Street,MANHATTAN,Multifamily Housing,243945,BOTH,True,True,True,54.9,30.8,1.78,73.6,124.0,3.8,21.0,488,299,1,13398745,1287458,1013657502,1076281,40.756308,-73.964165
555 Madison Avenue,555 Madison Ave,MANHATTAN,Office,369787,BOTH,True,True,True,26.3,14.0,1.89,36.4,26.6,2.1,4.7,483,264,2,9742180,4996567,1012917502,1035775,40.761177,-73.973161
Allied - 1423 2nd Avenue - Child,1423 2 AVENUE,MANHATTAN,Multifamily Housing,149793,BOTH,True,True,True,69.2,30.8,2.25,41.2,40.3,6.8,8.7,482,320,1,10368696,3442025,1014297502,1087912;1087911,40.770268,-73.957305
The Salvation Army DHQ,120 West 14th Street,MANHATTAN,Office,182554,BOTH,True,True,True,65.1,14.0,4.66,62.8,86.5,7.6,21.7,480,369,2,11891786,1871727,1006090023,1010639,40.737704,-73.997676
Tower 53,825 seventh Ave,MANHATTAN,Mixed Use Property,392397,BOTH,True,True,True,51.7,26.3,1.96,67.0,46.3,3.0,11.1,480,322,1,20274932,2785687,1-01006-7501,1023166,40.763155,-73.981745
600 Madison Avenue,600 Madison Avenue,MANHATTAN,Office,341495,BOTH,True,True,True,39.1,14.0,2.8,44.7,26.0,1.8,3.8,470,206,2,13346962,4841241,1012930059,1036076,40.762629,-73.972125
595 Madison Avenue,595 MADISON AVENUE,MANHATTAN,Office,314432,BOTH,True,True,True,29.5,14.0,2.11,43.6,37.8,2.6,6.9,469,275,2,9274431,3511306,1012930026,1036061,40.762384,-73.97228
Century - 233 East 69th Street,1317 2 AVENUE,MANHATTAN,Multifamily Housing,222962,BOTH,True,True,True,57.2,30.8,1.86,73.7,122.7,3.9,20.5,459,282,0,12755705,1239262,1014247501,1072223,40.767091,-73.959625
