property_name,address,borough,property_type,sqft,classification,has_steam_cooling,has_electric_cooling,has_monthly_data,steam_intensity,heating_baseline,steam_ratio_vs_baseline,steam_pct_of_total,summer_elec_increase_pct,cooling_intensity_kbtu_sqft,cooling_pct_of_elec,peak_month_cooling_kw,avg_summer_cooling_kw,num_cooling_towers,district_steam_kbtu,elec_kwh,bbl,bin,latitude,longitude
Milstein - 335 Madison Ave,335 Madison Avenue,MANHATTAN,Office,983943,STEAM_ONLY,True,False,True,21.3,14.0,1.53,34.5,8.6,0.0,0.0,351,0,1,21001250,11467039,1-01278-0020,1035360,40.753715,-73.9786
711 Third Avenue,711 3rd Avenue,MANHATTAN,Office,531158,STEAM_ONLY,True,False,True,28.7,14.0,2.05,49.5,20.9,1.0,3.4,350,175,1,15235033,4556523,1013180001,1037568,40.752374,-73.973266
260 Madison Ave,260 Madison Ave,MANHATTAN,Office,470725,STEAM_ONLY,True,False,True,28.2,14.0,2.02,0,16.0,0.9,2.5,331,0,4,13253615,0,1008680016,1017230,40.750707,-73.980828
1740 Broadway,1740 Broadway,MANHATTAN,Office,562483,STEAM_ONLY,True,False,True,51.0,14.0,3.65,70.3,24.0,0.8,3.9,297,144,1,28704536,3292689,1010270020,1024877,40.765098,-73.982095
1260 Avenue of the Americas (Bld 18) (Radio City),1260 Sixth Avenue,MANHATTAN,Other - Entertainment/Public Assembly,1003272,STEAM_ONLY,True,False,True,125.0,76.4,1.64,54.0,2.5,0.0,0.0,286,0,1,125420054,29867417,1012660001,1083861,40.75999,-73.980349
CIG > CH_293_Carnegie Hall,881 7th Ave,MANHATTAN,Performing Arts,304000,STEAM_ONLY,True,False,True,57.1,13.7,4.17,48.6,13.8,1.3,2.1,271,94,1,17354324,5375551,1010090001,1023449,40.764941,-73.980445
Jamestown Premier One Times Square,1 Times Square,MANHATTAN,Retail Store,132920,STEAM_ONLY,True,False,True,19.8,11.2,1.77,22.4,18.7,0.0,0.0,261,0,2,2635495,2670392,1009950001,1022581,40.756628,-73.986287
"680 Fifth Avenue Associates, L.P.",680 Fifth Avenue,MANHATTAN,Office,230675,STEAM_ONLY,True,False,True,25.5,14.0,1.83,52.6,28.9,0.7,2.2,242,53,1,5886765,1557482,1-01269-0041,1034532,40.760703,-73.975634
711 5th Ave,711 5th Ave,MANHATTAN,Office,310000,STEAM_ONLY,True,False,True,26.4,14.0,1.89,28.3,10.8,0.4,0.6,236,38,1,8195007,5669432,1012910001,1035768,40.761946,-73.974699
URA Group - 505 Fifth Avenue,505 Fifth Avenue,MANHATTAN,Office,272443,STEAM_ONLY,True,False,True,23.3,14.0,1.67,31.5,14.8,1.0,2.0,229,91,1,6353679,4049635,1-01277-0002,1035344,40.753663,-73.980744
1300 York Avenue,1300 York Avenue,MANHATTAN,Laboratory,653447,STEAM_ONLY,True,False,True,236.5,89.9,2.63,49.1,3.0,0.1,0.1,225,25,0,154557822,22016497,1-01480-0001,1046254;1084780;1084781;1084785;1087581;1084784;1084783;1084782,40.765008,-73.955078
50 Varick Street,50 Varick Street,MANHATTAN,Office,274871,STEAM_ONLY,True,False,True,44.7,14.0,3.2,32.8,8.1,0.3,0.3,223,28,1,12283012,7363217,1002127504,1002734,40.72117,-74.006559
1430 Broadway,1430 Broadway,MANHATTAN,Office,387750,STEAM_ONLY,True,False,True,46.3,14.0,3.31,55.1,13.0,0.6,1.6,214,75,1,17953294,4287340,1008150046,1015281,40.754158,-73.986905
1500 Broadway,1500 Broadway,MANHATTAN,Office,508344,STEAM_ONLY,True,False,True,29.3,14.0,2.1,44.8,12.9,0.5,1.6,213,81,1,14917943,4438491,1009960001,1022610,40.756856,-73.985973
750 Third Avenue,750 3rd Avenue,MANHATTAN,Office,767643,STEAM_ONLY,True,False,True,22.3,14.0,1.6,61.0,17.0,0.3,2.3,207,80,1,17155046,3092078,1013010033,1036207,40.753722,-73.972309
740 Park Ave,740 PARK AVE.,MANHATTAN,Multifamily Housing,296032,STEAM_ONLY,True,False,True,48.2,30.8,1.57,58.8,18.1,0.3,1.0,203,32,0,14267953,2829862,1013860033,1041363,40.770625,-73.964186
Orsid - 200 East 69 Street (Parent),200 East 69 Street,MANHATTAN,Multifamily Housing,477962,STEAM_ONLY,True,False,True,66.0,30.8,2.15,72.0,14.6,0.2,0.9,202,36,1,31563489,3550445,1014237501,1043902;1084294,40.767753,-73.961892
CUNY CC > BMCC_5555_BMCC: Fiterman Hall,245 Greenwich St,MANHATTAN,College/University,397737,STEAM_ONLY,True,False,True,36.4,21.9,1.66,40.6,8.9,2.1,4.0,199,124,1,14466169,6208173,1001270001,1088292,40.714066,-74.011586
Zeckendorf Towers,1 Irving Place,MANHATTAN,Multifamily Housing,989722,STEAM_ONLY,True,False,True,50.3,30.8,1.63,42.2,38.4,0.6,11.2,193,142,1,49763340,19219020,1-00870-7501,1083247,40.734072,-73.988713
780 3rd Avenue,780 3rd Avenue,MANHATTAN,Office,515182,STEAM_ONLY,True,False,True,24.0,14.0,1.72,45.7,9.5,0.0,0.0,167,0,1,12355357,4309360,1013030033,1036228,40.754757,-73.971554
135 East 57th Street,135 East 57th Street,MANHATTAN,Office,417222,STEAM_ONLY,True,False,True,43.6,14.0,3.12,53.9,9.2,0.5,1.2,158,63,1,18179781,4500946,1013120015,1036904,40.761055,-73.969411
NH MEETH 208 E64th St 1043862,208 East 64th Street,MANHATTAN,Other - Specialty Hospital,140014,STEAM_ONLY,True,False,True,105.5,41.4,2.55,61.0,12.9,0.9,1.4,143,43,2,14766401,2769949,1014180006,1043862,40.764479,-73.963839
5 Hanover Square,5 Hanover Square,MANHATTAN,Office,300404,STEAM_ONLY,True,False,True,37.3,14.0,2.67,56.8,14.7,0.7,2.5,142,72,1,11199147,2496555,1-00028-7502,1000832,40.704923,-74.009046
Guggenheim Museum,1071 Fifth Avenue,MANHATTAN,Museum,108013,STEAM_ONLY,True,False,True,162.5,106.8,1.52,60.4,11.9,2.9,2.8,140,83,1,17546761,3318814,1-01500-0001,1046946,40.782925,-73.959391
2 Wall Street,2 Wall Street,MANHATTAN,Office,173159,STEAM_ONLY,True,False,True,23.7,14.0,1.7,40.1,20.5,0.6,1.7,139,34,1,4110106,1802099,1000460001,1001023,40.707725,-74.011632
104 West 40th Street (Park House Plaza),104 West 40th Street,,Office,181600,STEAM_ONLY,True,False,True,62.4,14.0,4.46,59.4,17.0,1.0,2.6,128,60,1,11327585,1915535,1-00815-0021,1015277,,
M480 (OECID: 0100171; BBL: 1014420001),317 East 67th Street,MANHATTAN,K-12 School,361820,STEAM_ONLY,True,False,True,53.2,29.0,1.83,78.1,17.7,0.3,1.8,108,31,0,19234144,1584176,1014420001,1083343;1044751,40.765359,-73.960059
M520 (OECID: 0100203; BBL: 1001130100),411 Pearl Street,MANHATTAN,K-12 School,366200,STEAM_ONLY,True,False,True,47.1,29.0,1.62,61.7,8.1,0.0,0.0,105,0,2,17231807,3123861,1001130100,1001388,40.711442,-74.000851
"M445, M447 (OECID: 0100172; BBL: 1004080030)",350 Grand Street,MANHATTAN,K-12 School,313980,STEAM_ONLY,True,False,True,50.9,29.0,1.75,78.7,21.7,0.8,5.9,100,83,0,15973333,1247362,1004080030,1005283,40.717349,-73.989596
65 Broadway LLC,65 broadway,MANHATTAN,Office,335184,STEAM_ONLY,True,False,True,38.7,14.0,2.77,37.1,3.9,0.0,0.0,97,0,1,12957729,6339871,1000210004,1000809,40.707113,-74.012234
168 7th Street,168 7th Street,BROOKLYN,Office,73132,STEAM_ONLY,True,False,True,37.7,14.0,2.7,47.3,38.1,0.9,2.9,97,22,0,2755788,567308,3-00996-0021,3021771,40.673221,-73.991168
Wavecrest PARENT - 177 Broome St / 408 Grand St / 410 Grand St,Clinton Street,,Multifamily Housing,225000,STEAM_ONLY,True,False,True,73.6,30.8,2.39,81.9,27.9,0.7,5.7,89,50,0,16568421,773588,1003410058,1083422;1083423,,
35 West 44th St,35 West 44Th St,MANHATTAN,Hotel,152820,STEAM_ONLY,True,False,True,80.6,34.6,2.33,42.0,5.3,0.0,0.0,87,0,0,12317864,4069994,1-01260-0020,1034222,40.755324,-73.981198
77 Water Street,78 Front Street,MANHATTAN,Office,546907,STEAM_ONLY,True,False,True,104.5,14.0,7.48,81.0,5.4,0.0,0.0,82,0,1,57141547,3939761,1000330001,1000863,40.703891,-74.008234
Vagelos Education Center,104 Haven Ave.,MANHATTAN,College/University,115531,STEAM_ONLY,True,False,True,119.7,21.9,5.45,65.4,8.9,0.9,1.5,73,35,0,13824566,2140674,1021390229,1090165,40.844718,-73.942431
724 Fifth Avenue,724 Fifth Avenue,MANHATTAN,Office,62648,STEAM_ONLY,True,False,True,33.2,14.0,2.37,30.6,14.5,2.0,2.6,73,36,1,2078216,1379468,1012727502,1035052,40.762495,-73.974323
Stanton Hall,245 Lexington Ave,MANHATTAN,College/University,75512,STEAM_ONLY,True,False,True,109.2,21.9,4.98,75.0,23.2,0.2,0.6,67,5,1,8245716,706018,1-00890-0024,1018520,40.746672,-73.979515
M894 (OECID: 0101378; BBL: 1000510015),90 Trinity Place,MANHATTAN,K-12 School,99000,STEAM_ONLY,True,False,True,84.6,29.0,2.92,69.8,15.2,0.6,1.6,63,19,1,8375909,1063135,1000510015,1001035,40.70873,-74.012332
15 West 39th Street,15 West 39th Street,MANHATTAN,Office,79056,STEAM_ONLY,True,False,True,33.5,14.0,2.4,41.9,17.9,0.5,1.5,60,14,0,2648506,828144,1008410027,1016044,40.751923,-73.983073
"205 Lexington Ave, NY, NY 10016",205 Lexington Ave NY NY 10016,MANHATTAN,Office,119064,STEAM_ONLY,True,False,True,21.1,14.0,1.51,46.8,16.0,0.4,1.6,54,14,1,2508247,835820,1-00888-0024,1018475,40.7453,-73.980512
R.F. Stuart: 230 East 79th Street,230 East 79th Street,MANHATTAN,Multifamily Housing,88231,STEAM_ONLY,True,False,True,76.8,30.8,2.49,79.8,35.6,0.6,4.5,49,19,1,6774959,445142,1-01433-0034,1044178,40.773932,-73.956483
The Yale Club of NYC - 2024+,50 Vanderbilt Avenue,MANHATTAN,Hotel,174895,STEAM_ONLY,True,False,True,145.3,34.6,4.2,63.1,2.8,0.0,0.0,42,0,1,25410101,3777604,1012790028,1035374,40.753981,-73.977254
777 United Nations Plaza,777 United Nations Plaza,MANHATTAN,Office,67177,STEAM_ONLY,True,False,True,86.3,14.0,6.18,78.2,22.8,0.8,3.5,42,18,0,5797263,473305,1-01336-0030,1038669; 1810348,40.7499,-73.969066
JM - 155 E 55th street,155 E 55th street,MANHATTAN,Office,137136,STEAM_ONLY,True,False,True,68.7,14.0,4.92,79.0,34.9,0.6,7.1,41,26,1,9428003,334425,1013100027,1036515,40.759384,-73.969484
Nagler Hall,220 West 27 Street,MANHATTAN,Residence Hall/Dormitory,62542,STEAM_ONLY,True,False,True,95.1,34.2,2.78,81.5,24.9,0.0,0.0,40,0,0,5946120,395928,1-00776-0047,1083088,40.747127,-73.995034
2 East 88th St,2 E. 88TH ST.,MANHATTAN,Multifamily Housing,56960,STEAM_ONLY,True,False,True,57.2,30.8,1.86,79.5,46.5,1.0,7.0,40,18,0,3260945,232942,1014990069,1046925,40.782727,-73.959236
ABS - 145 East 57th Street,145 EAST 57 STREET,MANHATTAN,Office,58458,STEAM_ONLY,True,False,True,24.3,14.0,1.74,43.5,14.9,0.0,0.1,33,0,0,1421457,540431,1013120024,1036908,40.760791,-73.968783
66 East 79th St,66 E. 79TH ST.,MANHATTAN,Multifamily Housing,61025,STEAM_ONLY,True,False,True,71.0,30.8,2.31,79.7,25.3,0.4,2.3,32,8,0,4334972,307060,1013930043,1041880,40.77599,-73.961363
THOMAS APARTMENTS,102 WEST 91ST STREET,MANHATTAN,Multifamily Housing,69683,STEAM_ONLY,True,False,True,67.7,30.8,2.2,71.8,17.8,0.0,0.0,32,0,0,4717554,446099,1012210038,1077231,40.789779,-73.970124
Skyline Developers - 20 West 55th St,20 West 55th St,MANHATTAN,Office,75000,STEAM_ONLY,True,False,True,21.9,14.0,1.56,19.1,4.6,0.0,0.0,32,0,1,1639314,1747618,1012700049,1034807,40.762042,-73.975829
DCAS_1010_City Hall,City Hall Park,MANHATTAN,Office,52000,STEAM_ONLY,True,False,True,55.6,14.0,3.98,8.5,2.7,0.0,0.0,27,0,2,2893587,9091592,1001220001,1079147,40.71254,-74.006435
K405 (OECID: 0300370; BBL: 3075530041),2893 Bedford Avenue,BROOKLYN,K-12 School,231000,STEAM_ONLY,True,False,True,122.4,29.0,4.22,86.4,4.5,0.0,0.0,23,0,0,28270519,1275957,3075530041,3205788,40.631851,-73.952663
600 Fifth Avenue (Bld 17),600 Fifth Avenue,MANHATTAN,Office,396109,STEAM_ONLY,True,False,True,38.6,14.0,2.77,47.9,1.1,0.0,0.0,20,0,0,15308067,4876081,1-01264-0030;1-01264-0045,1034506; 1087733,40.75753,-73.977946
1855 Broadway,1855 Broadway,MANHATTAN,College/University,73500,STEAM_ONLY,True,False,True,114.6,21.9,5.22,70.7,4.5,0.6,1.2,17,0,1,8419523,1025104,1011130047,1027193,40.769514,-73.982122
The Shoreham (33W55),33 West 55th St,MANHATTAN,Hotel,54740,STEAM_ONLY,True,False,True,65.2,34.6,1.88,68.4,7.3,0.0,0.0,16,0,0,3571385,484187,1012710019,1034822,40.76219,-73.976132
424 Madison Avenue,424 Madison Avenue,MANHATTAN,Office,68669,STEAM_ONLY,True,False,True,31.7,14.0,2.27,49.2,6.0,0.0,0.0,16,0,0,2175778,658458,1012840056,1035445,40.756962,-73.976256
Dodge Hall,2960 Broadway,MANHATTAN,College/University,105413,STEAM_ONLY,True,False,True,44.6,21.9,2.03,37.7,0.6,0.3,0.2,9,0,0,4697994,1616326,1018860001,1082164,40.808194,-73.963747
FIT_10242_FIT: Nagler Hall,220 West 27th St,MANHATTAN,Residence Hall/Dormitory,63180,STEAM_ONLY,True,False,False,833.0,34.2,24.38,100.0,0,0,0,0,0,0,52631931,0,1007760047,1083088,40.747127,-73.995034
CBS-518,518 W57th St,MANHATTAN,Office,121635,STEAM_ONLY,True,False,False,458.8,14.0,32.84,64.0,0,0,0,0,0,0,55809710,9031395,1010850041,1027069,40.769617,-73.989769
25 Montgomery St,25 Montgomery Street,MANHATTAN,Multifamily Housing,136070,STEAM_ONLY,True,False,False,453.0,30.8,14.72,91.1,0,0,0,0,0,0,61637774,1412633,1-00267-0001,1083402,40.713434,-73.985077
Rose F. Kennedy Center (Lot 55),1410 Pelham Pkwy,BRONX,Laboratory,120650,STEAM_ONLY,True,False,False,368.8,89.9,4.1,68.5,0,0,0,0,0,1,44491930,5968325,2-04205-0055,2097552,40.857424,-73.846963
New York Blood Center,310 East 67th Street,MANHATTAN,Laboratory,140552,STEAM_ONLY,True,False,False,276.4,89.9,3.07,71.9,0,0,0,0,0,1,38853833,4458332,1014410040,1044750,40.765386,-73.960171
610 Fifth Avenue (Bld 2),610 Fifth Avenue,MANHATTAN,Office,111101,STEAM_ONLY,True,False,True,231.1,14.0,16.54,83.3,-2.7,0.0,0.0,0,0,0,25675931,1506752,1-01265-0050,1082656,40.75801,-73.977595
945 Madison Ave,945 Madison Ave,MANHATTAN,Museum,50560,STEAM_ONLY,True,False,False,206.0,106.8,1.93,59.5,0,0,0,0,0,0,10417160,2043976,1-01385-0001,1081213,40.773457,-73.964199
Asia Society Building and Museum,725 Park Avenue,MANHATTAN,Museum,54139,STEAM_ONLY,True,False,False,203.4,106.8,1.9,62.5,0,0,0,0,0,1,11014005,1927298,1014050001,1042714,40.770032,-73.964594
131 West 35th: 131 West 35th Street,131 W 35th St,MANHATTAN,Office,94000,STEAM_ONLY,True,False,False,177.4,14.0,12.7,89.4,0,0,0,0,0,0,16679415,579292,1008110016,1015225,40.750999,-73.988559
WCMC - WGC (YAB) Building,1305 York Ave,MANHATTAN,Medical Office,297951,STEAM_ONLY,True,False,False,176.0,14.5,12.15,57.8,0,0,0,0,0,2,52436049,7472121,1014640028,1045586,40.765346,-73.954857
"DSNY_3888_Manhattan 4, 4A, 7 District Garage; Salt",650 West 57th St,MANHATTAN,Vehicle Repair Services,485718,STEAM_ONLY,True,False,True,170.5,56.1,3.04,74.4,-5.5,0.0,0.0,0,0,0,82824617,6050074,1011040001,1087609,40.771149,-73.993415
NH MEETH,210 East 64th Street,MANHATTAN,Urgent Care/Clinic/Other Outpatient,263550,STEAM_ONLY,True,False,False,169.3,83.6,2.02,66.1,0,0,0,0,0,0,44617720,6713669,1-01418-0006;1-01418-0032,1043862;1087753,40.764465,-73.963807
LL84 - TRB (227 E 30th S),227 East 30th St,MANHATTAN,Other - Technology/Science,182506,STEAM_ONLY,True,False,False,159.0,75.2,2.12,51.6,0,0,0,0,0,2,29025079,7975388,1-00911-7503,1019951,40.742695,-73.978705
Wavecrest - 460 Grand St,460 Grand Street,MANHATTAN,Multifamily Housing,265180,STEAM_ONLY,True,False,False,138.9,30.8,4.51,86.2,0,0,0,0,0,0,36839256,1460200,1-00341-0001,1004075,40.715267,-73.98442
2070-Manhattan Times Square,790 7th Avenue at 51st Street,MANHATTAN,Hotel,365395,STEAM_ONLY,True,False,False,136.9,34.6,3.96,0,0,0,0,0,0,1,50032756,0,1010230029,1024818,40.762005,-73.982612
438-440 WEST 33RD STREET,438-440 WEST 33RD STREET,MANHATTAN,Office,191015,STEAM_ONLY,True,False,True,124.2,14.0,8.89,93.6,11.9,0.0,3.7,0,0,1,23720873,15450,1007297506,1089974,40.753259,-73.998083
2250-Park Lane Hotel,34 West 59 Street,MANHATTAN,Hotel,453076,STEAM_ONLY,True,False,False,108.1,34.6,3.12,74.1,0,0,0,0,0,1,48955445,4700169,1012740011,1035251,40.765039,-73.974759
108 East 50th Street,108 East 50th Street,MANHATTAN,Worship Facility,66705,STEAM_ONLY,True,False,False,106.9,24.1,4.44,52.1,0,0,0,0,0,2,7132753,1722769,1013050001,1036450,40.756884,-73.973304
HSS - Caspary Research Center (Pavilion),541 E 71st Street,MANHATTAN,Medical Office,79234,STEAM_ONLY,True,False,False,105.9,14.5,7.31,44.1,0,0,0,0,0,1,8391635,3113642,1014830023,1046258,40.765735,-73.9532
35 West 44th St,27 W. 44Th Street,MANHATTAN,Mixed Use Property,162080,STEAM_ONLY,True,False,False,105.6,26.3,4.02,50.9,0,0,0,0,0,1,17117112,3966310,1012600020,1034222;1034223,40.755244,-73.981014
2070-Manhattan Times Square,790 7th Avenue at 51st Street,MANHATTAN,Hotel,461591,STEAM_ONLY,True,False,False,104.4,34.6,3.02,79.4,0,0,0,0,0,1,48183453,3663245,1-01023-0029,1024818,40.762005,-73.982612
Barbizon 63,140 East 63rd Street,MANHATTAN,Multifamily Housing,190301,STEAM_ONLY,True,False,False,104.1,30.8,3.38,63.4,0,0,0,0,0,1,19813367,2592095,1-01397-7505,1042055,40.764592,-73.966052
60 Henry Street,60 Henry Street,MANHATTAN,Multifamily Housing,61451,STEAM_ONLY,True,False,False,103.3,30.8,3.36,73.6,0,0,0,0,0,1,6348700,497884,1-00277-7501,1077812,40.712968,-73.995008
245 Lexington Avenue,245 Lexington Ave,MANHATTAN,Other - Education,81312,STEAM_ONLY,True,False,False,102.8,35.0,2.94,74.9,0,0,0,0,0,1,8356722,748579,1008900024,1018520,40.746672,-73.979515
Mount Sinai Beth Israel Comprehensive Behavioral Health Center (45 Rivington),45 Rivington Street,MANHATTAN,Other - Specialty Hospital,135630,STEAM_ONLY,True,False,False,99.4,41.4,2.4,57.6,0,0,0,0,0,3,13485298,2846715,1004207502,1005601,40.720876,-73.991024
521-533 West 57th St.,521-533 West 27th St,MANHATTAN,Office,423251,STEAM_ONLY,True,False,False,98.4,14.0,7.04,67.3,0,0,0,0,0,0,41656915,5930433,1-01086-7501,1027074;1027073,40.75069,-74.003454
1 Rock (Bld 5),1 Rockefeller Plaza,MANHATTAN,Office,568532,STEAM_ONLY,True,False,False,97.6,14.0,6.99,46.2,0,0,0,0,0,1,55509980,18760043,1012640005,1077286,40.757904,-73.979288
Park Avenue Armory - 643 Park Ave,643 Park Avenue,MANHATTAN,Performing Arts,84337,STEAM_ONLY,True,False,False,97.4,13.7,7.12,50.4,0,0,0,0,0,1,8216917,2370257,1-01401-0001,1042460,40.767491,-73.966448
410 Madison Avenue,410 Madison Avenue,MANHATTAN,Office,58395,STEAM_ONLY,True,False,False,96.5,14.0,6.91,61.1,0,0,0,0,0,1,5637793,1052882,1-01284-0014,1035437,40.756706,-73.976444
2480-Algonquin Hotel,59 W 44th St.,MANHATTAN,Hotel,88917,STEAM_ONLY,True,False,False,96.4,34.6,2.78,56.4,0,0,0,0,0,1,8571010,1555904,1012600007,1081059,40.755555,-73.981754
AKAM - 220 East 60th Street,212 East 60th Street,MANHATTAN,Multifamily Housing,104106,STEAM_ONLY,True,False,False,94.7,30.8,3.08,78.4,0,0,0,0,0,1,9857078,722767,1014147501,1043366,40.761949,-73.965606
Evelyn H. Lauder Breast and Imaging Center,300 E 65 St,MANHATTAN,Other - Specialty Hospital,234339,STEAM_ONLY,True,False,False,94.7,41.4,2.29,48.1,0,0,0,0,0,2,22201248,7019079,1014400049,1044734,40.764209,-73.961258
R.F. Stuart: 230 East 79th Street,230 East 79th Street,MANHATTAN,Multifamily Housing,88231,STEAM_ONLY,True,False,False,93.6,30.8,3.04,80.2,0,0,0,0,0,1,8261990,370161,1014330034,1044178,40.773932,-73.956483
CO/VZT/230 W 36TH ST/NEW YORK/NY,230 W 36TH ST,MANHATTAN,Data Center,308629,STEAM_ONLY,True,False,False,92.5,27.0,3.43,44.4,0,0,0,0,0,7,28544232,9829471,1007850049,1083622,40.752709,-73.990731
Murray Hill East Suites,149 East 39Th Street,MANHATTAN,Hotel,82000,STEAM_ONLY,True,False,False,92.1,34.6,2.66,82.0,0,0,0,0,0,1,7552575,431410,1-00895-0038,1019482,40.749318,-73.976873
AKAM - 521 Park Avenue,521 Park Avenue,MANHATTAN,Multifamily Housing,53957,STEAM_ONLY,True,False,False,88.9,30.8,2.89,73.0,0,0,0,0,0,0,4797097,507040,1-01395-7502,1041910,40.76372,-73.969197
777 UN Plaza (775 UN PLAZA),775 UNITED NATIONS PLAZA,MANHATTAN,Office,70214,STEAM_ONLY,True,False,False,86.2,14.0,6.17,79.0,0,0,0,0,0,2,6050177,472214,1013360030,1038669,40.749859,-73.969095
Circle Realty Group LLC - 445 Park Ave,445 Park Ave,MANHATTAN,Office,323869,STEAM_ONLY,True,False,False,85.5,14.0,6.12,83.3,0,0,0,0,0,1,27688380,1621808,1013110001,1081164,40.76119,-73.971042
DEPM 1174 - 212 West 18th Street,212 West 18th Street,MANHATTAN,Multifamily Housing,350401,STEAM_ONLY,True,False,False,84.8,30.8,2.76,79.7,0,0,0,0,0,1,29720115,2214489,1-00767-7505,1013854,40.74133,-73.998535
9671T-NYCRT-Renaissance NY Hotel Times Square,714 Seventh Avenue,MANHATTAN,Hotel,203450,STEAM_ONLY,True,False,False,84.6,34.6,2.44,59.9,0,0,0,0,0,1,17215939,3014331,1-01019-7501,1024757,40.759581,-73.984366
601 Columbus Avenue,601 Columbus Avenue,MANHATTAN,Multifamily Housing,246984,STEAM_ONLY,True,False,False,84.2,30.8,2.73,80.0,0,0,0,0,0,0,20785081,1387672,1012030001,1031543,40.78856,-73.970648
405 East 56th Street,405 East 56th Street,MANHATTAN,Multifamily Housing,160264,STEAM_ONLY,True,False,False,82.2,30.8,2.67,85.0,0,0,0,0,0,1,13175681,583628,1-01368-0005,1040467,40.757186,-73.962316
140 WEST STREET CONDOMINIUM,140 West Street,MANHATTAN,Mixed Use Property,967206,STEAM_ONLY,True,False,False,82.0,26.3,3.12,28.5,0,0,0,0,0,2,79330454,55427839,1-00084-7501,1001228,40.713843,-74.01379
DEPM 1880 - 235 East 57th St,235 East 57th Street,MANHATTAN,Multifamily Housing,50000,STEAM_ONLY,True,False,False,81.0,30.8,2.63,68.9,0,0,0,0,0,0,4051706,466493,1-01331-0017,1038598,40.759863,-73.966581
Henry Phipps Plaza South,444 2Nd Avenue,MANHATTAN,Multifamily Housing,466658,STEAM_ONLY,True,False,False,79.5,30.8,2.58,74.3,0,0,0,0,0,0,37114452,3231141,1009310001,1078833;1078835,40.739311,-73.97985
AKAM - 530 East 76th Street,530 East 76th Street,MANHATTAN,Multifamily Housing,372489,STEAM_ONLY,True,False,False,79.4,30.8,2.58,77.0,0,0,0,0,0,1,29576410,2490400,1-01487-7502,1072696,40.769077,-73.95101
610 Fifth Avenue (Bld 2),610 Fifth Avenue,MANHATTAN,Office,151334,STEAM_ONLY,True,False,False,78.5,14.0,5.62,35.8,0,0,0,0,0,0,11883356,5701146,1012650050,1082656,40.75801,-73.977595
Leman: 41 Broad Street,41 Broad Street,MANHATTAN,K-12 School,97962,STEAM_ONLY,True,False,False,78.3,29.0,2.7,60.0,0,0,0,0,0,1,7669133,1500420,1000250010,1000823,40.705576,-74.011448
950 Third Avenue New York (944 3 AVENUE),944 3 AVENUE,MANHATTAN,Office,320585,STEAM_ONLY,True,False,False,77.0,14.0,5.51,67.9,0,0,0,0,0,1,24699429,3418148,1013110040,1036882,40.760012,-73.9677
520 Park Avenue,520 Park Avenue,MANHATTAN,Multifamily Housing,251892,STEAM_ONLY,True,False,False,76.1,30.8,2.47,61.9,0,0,0,0,0,0,19167186,3459584,1-01375-7504,1090526,40.763943,-73.970041
Gouverneur Gardens Housing Residential and Retail,25 Montgomery Street,MANHATTAN,Multifamily Housing,814552,STEAM_ONLY,True,False,False,75.7,30.8,2.46,78.6,0,0,0,0,0,0,61637774,3864133,1-00267-0001; 1-00259-0071; 1-00259-0001; 1-00244-0019; 1-00243-0056; 1-00267-0010,1083402; 1003220; 1077586; 1077587; 1003215; 1003212; 1003141,40.713434,-73.985077
150 West 96th Street,150 West 96th Street,MANHATTAN,Multifamily Housing,216315,STEAM_ONLY,True,False,False,75.7,30.8,2.46,79.6,0,0,0,0,0,0,16372999,1019340,1012260045,1032613,40.793457,-73.968973
Wavecrest - PARENT - 131 Broome - 17 Pitt - 460 Grand,131 Broome - 17 Pitt - 460 Grand,,Multifamily Housing,498880,STEAM_ONLY,True,False,False,73.8,30.8,2.4,76.4,0,0,0,0,0,0,36839256,3033506,1-00341-0070;1-00341-0001,1077598;1077609;1088330;1088770;1004075,,
344 E 28th Street,344 EAST 28TH STREET,MANHATTAN,Multifamily Housing,209802,STEAM_ONLY,True,False,False,72.5,30.8,2.36,76.8,0,0,0,0,0,0,15213768,1198387,1-00933-0025,1020611,40.739983,-73.977006
(8033) - 301 East Tenants Corp (301 East 75th Street),301 East 75th Street,MANHATTAN,Multifamily Housing,128250,STEAM_ONLY,True,False,False,72.3,30.8,2.35,63.6,0,0,0,0,0,1,9276747,1478558,1-01450-0001,1045135,40.770641,-73.956651
Wavecrest - 410 Grand St,410 Grand Street,MANHATTAN,Multifamily Housing,225000,STEAM_ONLY,True,False,False,72.0,30.8,2.34,73.4,0,0,0,0,0,0,16204723,1411211,1-00341-0058,1083423;108877,40.715916,-73.98657
GPG - 301 East 73rd Street / 1404 2 Ave,301 East 73rd Street,MANHATTAN,Multifamily Housing,58480,STEAM_ONLY,True,False,False,71.1,30.8,2.31,77.0,0,0,0,0,0,0,4157563,332803,1-01448-0001,1044897;1802566,40.769341,-73.957504
921 Madison Avenue,921 Madison Avenue,MANHATTAN,Worship Facility,65800,STEAM_ONLY,True,False,False,70.7,24.1,2.94,63.0,0,0,0,0,0,0,4653518,787909,1-01388-0021,1041498;1090474,40.772722,-73.964737
Triborough Pres LLC (Campos) (2126camp),635 East 12th Street,MANHATTAN,Multifamily Housing,289613,STEAM_ONLY,True,False,False,69.7,30.8,2.26,41.0,0,0,0,0,0,0,20176080,1432264,1003950009;1003950022,1079061;1082803,40.727478,-73.977519
