property_name,address,borough,property_type,sqft,classification,has_steam_cooling,has_electric_cooling,has_monthly_data,steam_intensity,heating_baseline,steam_ratio_vs_baseline,steam_pct_of_total,summer_elec_increase_pct,cooling_intensity_kbtu_sqft,cooling_pct_of_elec,peak_month_cooling_kw,avg_summer_cooling_kw,num_cooling_towers,district_steam_kbtu,elec_kwh,bbl,bin,latitude,longitude
AKAM - 1200 Fifth Avenue,1200 Fifth Avenue,MANHATTAN,Multifamily Housing,112559,BOTH,True,True,True,72.7,30.8,2.36,66.5,31.7,2.1,5.9,141,80,1,8178998,1191101,1016077501,1051486,40.791138,-73.953388
441 Lexington Avenue,437 LEXINGTON AVENUE,MANHATTAN,Office,104457,BOTH,True,True,True,56.4,14.0,4.04,65.2,44.6,2.8,9.4,140,85,1,5888581,919538,1012990022,1036174,40.752833,-73.975027
Century - 130 East 18th Street,126 EAST 18 STREET,MANHATTAN,Multifamily Housing,187551,BOTH,True,True,True,75.8,30.8,2.46,78.0,35.2,2.0,9.4,139,111,1,14208600,1152852,1008730019,1017843,40.736358,-73.986728
DEPM 2128 - 820 Park Ave,820 Park Avenue,MANHATTAN,Multifamily Housing,57914,BOTH,True,True,True,53.6,30.8,1.74,65.8,101.7,6.1,22.2,139,96,0,3101844,468097,1013900035,1041701,40.773242,-73.962278
AKAM - 220 East 60th Street,220 East 60th Street,MANHATTAN,Multifamily Housing,117039,BOTH,True,True,True,90.7,30.8,2.95,78.6,56.8,2.6,12.4,137,101,1,10612760,773010,1-01414-7501,1043366,40.761897,-73.965476
DOHMH_3442_Washington Heights Health Center,600 West 168th St,MANHATTAN,Urgent Care/Clinic/Other Outpatient,51050,BOTH,True,True,True,182.7,83.6,2.19,86.2,100.4,5.1,17.3,135,85,0,9327527,438059,1021380024,1063379,40.841264,-73.940223
Allied Partners - 254 W 54th Street,254 W 54th Street,MANHATTAN,Office,60000,BOTH,True,True,True,35.8,14.0,2.56,37.3,49.5,4.1,9.4,131,80,0,2148280,753831,1-01025-0058,1024843,40.764338,-73.983217
1080 Fifth Ave,1080 5TH AVE.,MANHATTAN,Multifamily Housing,110000,BOTH,True,True,True,65.9,30.8,2.14,74.2,57.7,2.8,13.1,130,84,1,7253144,687278,1015010001,1046965,40.783553,-73.958936
176 W 94th St,176 West 94th Street,MANHATTAN,Multifamily Housing,96184,BOTH,True,True,True,62.2,30.8,2.02,77.4,97.0,2.3,15.5,129,72,0,5981354,401608,1-01224-0058,1032545,40.792483,-73.970689
WEST SIDE URBAN RENEWAL (SITE A),120 WEST 94TH STREET,MANHATTAN,Multifamily Housing,62587,BOTH,True,True,True,101.8,30.8,3.31,76.9,78.2,3.7,13.8,128,77,0,6368676,496399,1012240042,1032540,40.791944,-73.9694
Murray Hill East Suites,149 E. 39Th Street,MANHATTAN,Hotel,88661,BOTH,True,True,True,55.3,34.6,1.6,75.8,106.5,3.4,21.9,126,95,1,4900999,401852,1008950038,1019482,40.749318,-73.976873
AAG: 421 7th Avenue,421 7th Avenue,MANHATTAN,Office,71811,BOTH,True,True,True,23.8,14.0,1.7,22.5,21.9,5.6,7.4,123,102,0,1710178,1602535,1008090001,1015192,40.750503,-73.990966
WCMC Olin Hall,445 East 69th ST,MANHATTAN,Residence Hall/Dormitory,105477,BOTH,True,True,True,60.4,34.2,1.77,69.9,45.1,3.0,11.5,121,91,0,6367019,802601,1-01464-0021,1045585,40.76519,-73.955778
60 Henry Street,60 Henry Street,MANHATTAN,Multifamily Housing,74990,BOTH,True,True,True,75.1,30.8,2.44,71.2,69.7,2.5,11.0,120,61,1,5631990,489536,1002777501,1077812,40.712968,-73.995008
DEPM 2376 - 988 Fifth Avenue,988 5 Avenue,MANHATTAN,Multifamily Housing,50396,BOTH,True,True,True,60.3,30.8,1.96,69.4,105.6,5.3,20.7,120,74,0,3039291,378031,1014917502,1046594,40.777472,-73.963002
(3035) - The Elysabeth Condominium (35 East 38 Street),35 East 38 Street,MANHATTAN,Multifamily Housing,93180,BOTH,True,True,True,46.5,30.8,1.51,70.9,77.3,3.5,19.1,118,96,1,4329014,482931,1-00868-7501,1017247,40.749988,-73.980395
18 East 50th Street,18 E 50th Street,MANHATTAN,Office,62775,BOTH,True,True,True,28.8,14.0,2.06,55.3,93.1,5.9,25.3,111,87,0,1805184,427462,1012850059,1035460,40.758136,-73.97627
DEPM 2360 - 27 East 65th St,27 East 65 Street,MANHATTAN,Multifamily Housing,141448,BOTH,True,True,True,53.0,30.8,1.72,60.9,29.4,1.5,6.1,105,68,2,7498523,984088,1013800023,1041128,40.767255,-73.968441
Century - 225 East 36th Street,225 East 36th Street,MANHATTAN,Multifamily Housing,217438,BOTH,True,True,True,56.6,30.8,1.84,74.8,51.1,1.3,13.4,102,77,1,12298270,1096165,1-00917-0017,1020204,40.746532,-73.976036
DEPM 1736 - 169 East 69th St,169 East 69 Street,MANHATTAN,Multifamily Housing,150395,BOTH,True,True,True,62.1,30.8,2.02,74.5,33.3,2.4,11.5,101,83,1,9333103,902563,1014040033,1042497,40.768129,-73.962743
117 East 72nd St,117 E. 72ND ST.,MANHATTAN,Multifamily Housing,88182,BOTH,True,True,True,54.5,30.8,1.77,74.2,68.4,2.4,13.7,100,59,0,4805205,446231,1014070008,1042843,40.770783,-73.963038
H&amp;K: 206 East 31st Street,443 3 AVENUE,MANHATTAN,Multifamily Housing,64245,BOTH,True,True,True,60.1,30.8,1.95,66.7,76.6,2.5,12.6,98,54,0,3860464,382212,1009110064,1086764;1019971,40.743584,-73.979672
AKAM - 521 Park Avenue,521 Park Avenue,MANHATTAN,Multifamily Housing,53957,BOTH,True,True,True,79.3,30.8,2.58,75.6,71.5,3.3,13.2,95,59,0,4280298,397121,1013957502,1041910,40.76372,-73.969197
19 East 57th Street,19E 57th Street,MANHATTAN,Office,100994,BOTH,True,True,True,23.1,14.0,1.66,35.2,19.9,1.8,4.2,94,61,1,2336848,1261426,1-01293-0014,1086164,40.762621,-73.973128
123 West 43 Street,123 West 43 Street,MANHATTAN,Performing Arts,88375,BOTH,True,True,True,30.0,13.7,2.19,58.6,69.0,2.9,17.1,93,60,0,2647504,436949,1009960021,1022615,40.755843,-73.984382
Halsead - 838 Fifth Avenue,838 5 AVENUE,MANHATTAN,Multifamily Housing,70892,BOTH,True,True,True,66.0,30.8,2.14,55.3,22.8,2.1,3.9,90,35,2,4678641,1093559,1013797504,1041101,40.767925,-73.970339
M006 (OECID: 0100030; BBL: 1014930021),45 East 81st Street,MANHATTAN,K-12 School,91300,BOTH,True,True,True,45.0,29.0,1.55,70.4,54.3,1.8,10.1,90,54,0,4109748,477855,1014930021,1046668,40.777455,-73.960713
DEPM 1064 - 812 Fifth Ave,812 5 Avenue,MANHATTAN,Multifamily Housing,94998,BOTH,True,True,True,66.6,30.8,2.16,76.6,51.5,3.4,17.1,89,80,1,6330110,546386,1013770003,1040884,40.766378,-73.971459
Sachetti: 328 E 43rd St,328 E 43rd St,MANHATTAN,Multifamily Housing,52314,BOTH,True,True,True,74.9,30.8,2.43,80.1,109.0,3.2,20.0,82,52,0,3919531,249151,1013350039,1038663,40.750068,-73.97073
220 East 57th Street,220 East 57th Street,MANHATTAN,Multifamily Housing,124060,BOTH,True,True,True,58.9,30.8,1.91,77.7,41.8,1.5,9.8,81,62,1,7311160,559242,1013300038,1038594,40.759937,-73.966805
49 East 52nd Street (47 E 52 ST),47 EAST 52 STREET,MANHATTAN,Office,66117,BOTH,True,True,True,31.3,14.0,2.24,54.3,46.1,2.3,8.7,81,49,1,2072485,511123,1012880024,1035712,40.758976,-73.974328
The Harmonie Club - 4 East 60th Street,4 East 60th Street,MANHATTAN,Hotel,57000,BOTH,True,True,True,60.4,34.6,1.75,46.9,24.6,2.0,3.7,78,26,1,3445298,876045,1013740065,1040764,40.76472,-73.97216
215 Madison Avenue,215 Madison Avenue,MANHATTAN,Multifamily Housing,60300,BOTH,True,True,True,56.0,30.8,1.82,81.2,111.1,2.3,19.4,74,46,0,3376703,211870,1008650053,1017129,40.748879,-73.981882
79 East 79th St,73 EAST 79 STREET,MANHATTAN,Multifamily Housing,65353,BOTH,True,True,True,47.7,30.8,1.55,73.6,70.7,1.9,11.6,74,40,0,3115862,308560,1014910030,1046442,40.77597,-73.961269
